City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,28.77,70,94,8.27,CC,1709076724
1,puerto natales,-51.7236,-72.4875,12.11,74,100,4.25,CL,1709076725
2,port-aux-francais,-49.35,70.2167,8.66,96,99,11.19,TF,1709076726
3,college,64.8569,-147.8028,-14.0,50,75,1.54,US,1709076727
4,yellowknife,62.456,-114.3525,-23.66,84,0,3.6,CA,1709076729
5,hermanus,-34.4187,19.2345,18.78,73,0,8.24,ZA,1709076730
6,bairnsdale,-37.8333,147.6167,27.25,61,17,0.45,AU,1709076731
7,port isabel,26.0734,-97.2086,28.02,69,0,8.23,US,1709076732
8,blackmans bay,-43.0167,147.3167,23.07,56,94,1.55,AU,1709076734
9,cedar city,37.6775,-113.0619,7.54,29,0,2.57,US,1709076735
10,kruisfontein,-34.0033,24.7314,16.6,86,4,2.34,ZA,1709076736
11,naracoorte,-36.9579,140.7383,33.98,15,96,9.23,AU,1709076738
12,olonkinbyen,70.9221,-8.7187,-1.91,97,99,10.24,SJ,1709076739
13,emkhomazi,-30.2067,30.7978,19.28,75,79,2.16,ZA,1709076740
14,strezhevoy,60.7333,77.5889,-6.13,94,100,5.81,RU,1709076741
15,albany,42.6001,-73.9662,13.84,60,68,2.24,US,1709076743
16,lenoir,35.2335,-77.6497,17.18,88,100,5.66,US,1709076745
17,jamestown,42.097,-79.2353,12.77,88,92,3.13,US,1709076746
18,lensk,60.7253,114.9278,-29.26,95,14,2.0,RU,1709076747
19,afaahiti,-17.75,-149.2833,28.92,77,39,3.38,PF,1709076749
20,bathsheba,13.2167,-59.5167,26.34,73,20,5.14,BB,1709076751
21,kalmunai,7.4167,81.8167,25.6,85,98,4.81,LK,1709076753
22,waitangi,-43.9535,-176.5597,16.57,90,97,1.79,NZ,1709076755
23,arraial do cabo,-22.9661,-42.0278,24.98,88,20,5.14,BR,1709076756
24,anadyr,64.75,177.4833,-24.72,75,67,10.0,RU,1709076757
25,avarua,-21.2078,-159.775,29.03,79,35,2.06,CK,1709076759
26,igarka,67.4667,86.5833,-11.22,94,100,8.13,RU,1709076760
27,chiras,35.4167,65.9823,-3.83,92,100,3.28,AF,1709076761
28,sann,26.0418,68.1378,16.68,49,7,3.73,PK,1709076762
29,invercargill,-46.4,168.35,12.23,84,99,1.34,NZ,1709076763
30,adamstown,-25.066,-130.1015,26.46,73,90,2.82,PN,1709076765
31,bredasdorp,-34.5322,20.0403,17.22,75,2,6.81,ZA,1709076766
32,ketchikan,55.3422,-131.6461,-0.01,93,100,6.69,US,1709076768
33,shingu,33.7333,135.9833,7.72,51,4,1.52,JP,1709076769
34,tiksi,71.6872,128.8694,-20.1,85,70,15.97,RU,1709076770
35,vorgashor,67.5833,63.95,-4.27,96,100,5.47,RU,1709076771
36,tura,25.5198,90.2201,14.89,40,99,1.06,IN,1709076772
37,hasaki,35.7333,140.8333,7.94,46,1,6.77,JP,1709076773
38,ilulissat,69.2167,-51.1,-15.99,85,20,0.0,GL,1709076776
